,ADRES,AdmArea,DDOC,DMT,DREG,KADNOMZU,KAD_KV,KAD_RN,KAD_ZU,KRT,NDOC,NREG,SOOR,STRT,TDOC,UNOM,VLD,VYVAD,geoData,global_id,geometry
299,"Центральная улица, дом 47, строение Б/Н",Западный административный округ,,47,,,0,0,0,,,0,Строение,Б/Н,0,4500004,Дом,адрес утвержден распорядительным документом,,21006831,
487,"Старообрядческая улица, дом 42, строение 3",Юго-Восточный административный округ,,42,,,0,0,0,,,0,Строение,3,0,2130532,Дом,адрес утвержден распорядительным документом,,21037767,
805,"улица Княжнина, дом 16, строение 8",Юго-Восточный административный округ,,16,,,0,0,0,,,0,Строение,8,0,2121513,Дом,адрес утвержден распорядительным документом,,21041154,
809,"5-я Кабельная улица, дом 15, строение 8",Юго-Восточный административный округ,,15,,,0,0,0,,,0,Строение,8,0,2121517,Дом,адрес утвержден распорядительным документом,,21041156,
1015,"платформа Фрезер, дом 39, строение 17",Восточный административный округ,,39,,,0,0,0,,,0,Строение,17,0,4200080,Дом,адрес утвержден распорядительным документом,,21136629,
1751,"5-я Мякининская улица, дом Б/Н, строение 31",Западный административный округ,,Б/Н,,,0,0,0,,,0,Строение,31,0,3200950,Дом,адрес утвержден распорядительным документом,,20976156,
1885,"станция Угрешская, дом 6, строение 1",Юго-Восточный административный округ,,6,,,0,0,0,,,0,Строение,1,0,2129362,Дом,адрес утвержден распорядительным документом,,21052211,
2083,"Старобитцевская улица, дом 23, корпус 4",Юго-Западный административный округ,15.07.2004,23,22.07.2004,,0,0,0,4,1672-РП,6301988,Строение,,Распоряжение префектуры АО города Москвы,31944,Дом,адрес утвержден распорядительным документом,,21009419,
2254,"5-я Мякининская улица, дом Б/Н, строение 25",Западный административный округ,,Б/Н,,,0,0,0,,,0,Строение,25,0,3200944,Дом,адрес утвержден распорядительным документом,,20989764,
2255,"5-я Мякининская улица, дом Б/Н, строение 42",Западный административный округ,,Б/Н,,,0,0,0,,,0,Строение,42,0,3200961,Дом,адрес утвержден распорядительным документом,,20989773,
2256,"5-я Мякининская улица, дом Б/Н, строение 43",Западный административный округ,,Б/Н,,,0,0,0,,,0,Строение,43,0,3200962,Дом,адрес утвержден распорядительным документом,,20989776,
2267,"Строительный проезд, дом 9, строение Б/Н",Северо-Западный административный округ,,9,,,0,0,0,,,0,Строение,Б/Н,0,3304898,Дом,адрес утвержден распорядительным документом,,20990001,
2443,"Звёздный бульвар, дом 23",Северо-Восточный административный округ,,23,,,0,0,0,,,0,Строение,,0,2126205,Дом,адрес утвержден распорядительным документом,,21021705,
2666,"улица Островитянова, дом 22, корпус 2",Юго-Западный административный округ,14.05.2004,22,29.05.2004,,0,0,0,2,963-РП,6002275,Строение,,Распоряжение префектуры АО города Москвы,17925,Дом,адрес утвержден распорядительным документом,,20871970,
3009,"Рязанский проспект, дом 2, строение 60",Юго-Восточный административный округ,,2,,,0,0,0,,,0,Строение,60,0,2703216,Дом,адрес утвержден распорядительным документом,,20929617,
3019,"Сормовская улица, дом 19, строение 2",Юго-Восточный административный округ,,19,,,0,0,0,,,0,Строение,2,0,2704043,Дом,адрес утвержден распорядительным документом,,20929754,
3061,"посёлок Акулово, дом Б/Н, строение 10",Восточный административный округ,,Б/Н,,,0,0,0,,,0,Строение,10,0,2500094,Дом,адрес утвержден распорядительным документом,,20842771,
3227,"2-я улица Машиностроения, дом 8, строение 2",Юго-Восточный административный округ,,8,,,0,0,0,,,0,Строение,2,0,2705651,Дом,адрес утвержден распорядительным документом,,20930192,
3236,"станция Угрешская, дом 6, строение 3",Юго-Восточный административный округ,,6,,,0,0,0,,,0,Строение,3,0,2700641,Дом,адрес утвержден распорядительным документом,,20930264,
3272,"город Зеленоград, дом НЕТ, корпус 2",Зеленоградский административный округ,,НЕТ,,,0,0,0,2,,0,Строение,,0,2117123,Дом,адрес утвержден распорядительным документом,,20969242,
3493,"2-я линия Хорошёвского Серебряного Бора, домовладение 16",Северо-Западный административный округ,,16,,,0,0,0,,,0,Строение,,0,330692,Домовладение,адрес утвержден распорядительным документом,,20873678,
3536,"Суворовская площадь, дом 2, строение 46",Центральный административный округ,,2,,,0,0,0,,,0,Строение,46,0,4306083,Дом,адрес утвержден распорядительным документом,,20944918,
3715,"Западная улица, дом 4, строение 116",Восточный административный округ,,4,,,0,0,0,,,0,Строение,116,0,2500980,Дом,адрес утвержден распорядительным документом,,20910120,
3763,"проезд Карамзина, дом 1, корпус 3",Юго-Западный административный округ,22.09.2005,1,10.10.2005,,0,0,0,3,1988-РП,6007226,Строение,,Распоряжение префектуры АО города Москвы,9327,Дом,адрес утвержден распорядительным документом,,20848057,
3835,"улица Княжнина, дом 16, строение 5",Юго-Восточный административный округ,,16,,,0,0,0,,,0,Строение,5,0,2121499,Дом,адрес утвержден распорядительным документом,,20892593,
3933,"Планерная улица, дом 9, строение 34",Северо-Западный административный округ,,9,,,0,0,0,,,0,Строение,34,0,3306456,Дом,адрес утвержден распорядительным документом,,20932784,
4011,"населённый пункт Очаково, дом Б/Н, строение 19",Западный административный округ,,Б/Н,,,0,0,0,,,0,Строение,19,0,2133705,Дом,адрес утвержден распорядительным документом,,20957671,
